epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.463,0.89,1.45562,1.07342,0.99979,1,0.995,0.94591,0.35094,0.36253,0.95389,0.000302567,0.000302567,0.000302567
2,774.827,0.40143,0.53377,0.82575,0.99982,1,0.995,0.96627,0.27635,0.27531,0.92428,0.000585583,0.000585583,0.000585583
3,1144.92,0.3538,0.39439,0.81037,0.99983,1,0.995,0.97505,0.25248,0.25357,0.90743,0.000848602,0.000848602,0.000848602
4,1514.22,0.34026,0.33098,0.80136,0.99992,1,0.995,0.97795,0.23138,0.23183,0.8986,0.000819009,0.000819009,0.000819009
5,1884.95,0.30121,0.29151,0.79779,0.99995,1,0.995,0.98895,0.17976,0.20039,0.88804,0.000789012,0.000789012,0.000789012
6,2254.44,0.28917,0.26743,0.79399,0.99996,1,0.995,0.98123,0.20225,0.20638,0.89412,0.000759015,0.000759015,0.000759015
7,2623.29,0.27551,0.25095,0.79301,0.99991,1,0.995,0.97196,0.19126,0.20019,0.89228,0.000729018,0.000729018,0.000729018
8,3010.95,0.26142,0.23919,0.78929,0.99997,1,0.995,0.98468,0.17273,0.19606,0.88486,0.000699021,0.000699021,0.000699021
9,3378.67,0.26288,0.23118,0.78703,0.99997,1,0.995,0.98582,0.17536,0.1631,0.88458,0.000669024,0.000669024,0.000669024
10,3750.37,0.24271,0.21727,0.78559,0.99998,1,0.995,0.9898,0.12915,0.14899,0.88347,0.000639027,0.000639027,0.000639027
11,4121.6,0.23381,0.20871,0.78513,0.99998,1,0.995,0.99473,0.12127,0.14324,0.88132,0.00060903,0.00060903,0.00060903
12,4489.51,0.22947,0.2017,0.78352,0.99998,1,0.995,0.99432,0.12844,0.14728,0.87302,0.000579033,0.000579033,0.000579033
13,4859.31,0.22081,0.19379,0.78202,0.99999,1,0.995,0.99481,0.14356,0.13778,0.8735,0.000549036,0.000549036,0.000549036
14,5229.2,0.21513,0.18883,0.78101,0.99999,1,0.995,0.98394,0.10287,0.12462,0.8744,0.000519039,0.000519039,0.000519039
15,5598.88,0.21099,0.18356,0.78043,1,1,0.995,0.99471,0.0896,0.1198,0.87269,0.000489042,0.000489042,0.000489042
16,5968.16,0.20734,0.18034,0.77774,0.99999,1,0.995,0.99445,0.10006,0.12164,0.87177,0.000459045,0.000459045,0.000459045
17,6335.74,0.2009,0.17564,0.77971,0.99999,1,0.995,0.99479,0.08682,0.12222,0.87123,0.000429048,0.000429048,0.000429048
18,6704.27,0.19686,0.1694,0.77794,0.99999,1,0.995,0.99488,0.09301,0.11234,0.87401,0.000399051,0.000399051,0.000399051
19,7074.74,0.19335,0.16582,0.77808,1,1,0.995,0.995,0.10155,0.11865,0.87168,0.000369054,0.000369054,0.000369054
20,7444.07,0.18725,0.16125,0.77733,1,1,0.995,0.99499,0.09832,0.10863,0.87207,0.000339057,0.000339057,0.000339057
21,7797.97,0.18573,0.15663,0.75229,1,1,0.995,0.995,0.09134,0.09621,0.86968,0.00030906,0.00030906,0.00030906
22,8143.73,0.17185,0.14426,0.75029,0.99999,1,0.995,0.995,0.07405,0.09103,0.8695,0.000279063,0.000279063,0.000279063
23,8510.99,0.16612,0.13845,0.7505,1,1,0.995,0.995,0.07696,0.08931,0.86916,0.000249066,0.000249066,0.000249066
24,8876.93,0.16108,0.13265,0.74968,1,1,0.995,0.995,0.06643,0.089,0.86875,0.000219069,0.000219069,0.000219069
